"rsid" "gene" "protein" "eQTL" "ref"
"1242" "rs2273215" "RP5-894D12.3" "." "Adipose_Subcutaneous, Artery_Tibial, Breast_Mammary_Tissue" NA
"1243" "rs2282376" "KIF26A" "." "." NA
"1244" "rs2291175" "FARP1" "." "." NA
"1245" "rs2301841" "ZFR2" "." "Testis, Whole_Blood" NA
"1246" "rs2320969" "LINC00424" "." "." NA
"1247" "rs2325724" "ITGAE" "." "." NA
"1248" "rs2326643" "FARS2" "." "." NA
"1249" "rs2340583" "NDUFAF6" "." "Lymphoblastoid_EUR_exonlevel" NA
"1250" "rs2347393" "U6" "." "." NA
"1251" "rs235702" "BMP2" "." "." NA
"1252" "rs2361710" "EIF4A3" "." "Whole_Blood" NA
"1253" "rs2364481" "LTBR" "A549,POL2,HudsonAlpha,EtOH_0.02pct" "Artery_Tibial, Muscle_Skeletal, Adipose_Subcutaneous" NA
"1254" "rs2366211" "KANK4" "." "Lung" NA
"1255" "rs2373345" "CNTNAP2" "." "." NA
"1256" "rs2381297" "AC016706.1" "." "." NA
"1257" "rs2381783" "HMP19" "." "." NA
"1258" "rs2395906" "CCDC26" "." "." NA
"1259" "rs2396243" "RP1-302G2.5" "." "Artery_Tibial, Lymphoblastoid_EUR_exonlevel, Whole_Blood" NA
"1260" "rs2402528" "KCND2" "GM12878,NFKB,Stanford,TNFa;MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr;MCF10A-Er-Src,STAT3,Harvard(Weissman),TAM_1uM_36hr;MCF10A-Er-Src,STAT3,Stanford,EtOH_0.01pct_12hr" "Lymphoblastoid_EUR_exonlevel" NA
"1261" "rs2412771" "REST" "." "Whole_Blood, Cells_Transformed_fibroblasts" NA
"1262" "rs2415359" "SLC25A21" "." "." NA
"1263" "rs2417836" "RP11-405A12.2" "." "Artery_Aorta" NA
"1264" "rs2424154" "ZNF133" "." "." NA
"1265" "rs242625" "CDH20" "." "." NA
"1266" "rs2445304" "OR51L1" "." "." NA
"1267" "rs2445610" "RP11-255B23.4" "GM12878,NFKB,Stanford,TNFa" "." NA
"1268" "rs244711" "ZNF346" "." "Esophagus_Mucosa, Nerve_Tibial" NA
"1269" "rs2449515" "MTDH" "." "Whole_Blood" NA
"1270" "rs2472297" "CYP1A1" "." "Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"1271" "rs247264" "DIMT1" "." "Whole_Blood, Testis, Lymphoblastoid_EUR_exonlevel" NA
"1272" "rs2486635" "RP11-351M16.3" "." "Cells_Transformed_fibroblasts, Nerve_Tibial, Artery_Tibial" NA
"1273" "rs2488331" "ITGB1" "." "Whole_Blood, Cells_Transformed_fibroblasts, Skin_Sun_Exposed_Lower_leg" NA
"1274" "rs2509902" "ACVR1C" "." "Testis" NA
"1275" "rs2533443" "AUTS2" "." "." NA
"1276" "rs2540917" "AC007381.2" "." "." NA
"1277" "rs2559627" "TAOK1" "." "Nerve_Tibial, Testis, Whole_Blood" NA
"1278" "rs2569862" "GMDS" "." "Whole_Blood" NA
"1279" "rs2579501" "RP11-363D14.1" "." "Whole_Blood, Thyroid, Testis" NA
"1280" "rs2589998" "snoU13" "." "Skin_Sun_Exposed_Lower_leg" NA
"1281" "rs2599711" "NDUFAF6" "." "Lymphoblastoid_EUR_exonlevel, Whole_Blood" NA
"1282" "rs2603205" "RP11-260O18.1" "." "." NA
"1283" "rs2608849" "SH3RF1" "." "." NA
"1284" "rs2610986" "LCORL" "." "Lymphoblastoid_EUR_exonlevel" NA
"1285" "rs2613996" "PTDSS2" "." "Lymphoblastoid_EUR_exonlevel, Whole_Blood" NA
"1286" "rs2622235" "DPP6" "." "." NA
"1287" "rs2635482" "SNX16" "." "Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"1288" "rs2639962" "ZADH2" "." "Esophagus_Muscularis" NA
"1289" "rs2643826" "U1" "A549,USF1,HudsonAlpha,EtOH_0.02pct" "Cells_Transformed_fibroblasts" NA
"1290" "rs2648725" "PCGF5" "." "." NA
"1291" "rs2653349" "HCRTR2" "." "Muscle_Skeletal" NA
"1292" "rs266248" "AC096669.2" "." "." NA
"1293" "rs2671427" "IRF4" "." "." NA
"1294" "rs26835" "CASKIN1" "." "Lymphoblastoid_EUR_exonlevel, Heart_Left_Ventricle" NA
"1295" "rs269736" "RN5S73" "." "." NA
"1296" "rs270023" "THEMIS" "." "." NA
"1297" "rs2715135" "GRB10" "." "Whole_Blood" NA
"1298" "rs2717695" "ZSCAN10" "." "Whole_Blood, Muscle_Skeletal" NA
"1299" "rs2721926" "TRPS1" "." "." NA
"1300" "rs2724616" "ETV6" "." "." NA
"1301" "rs27323" "CTD-2366F13.1" "." "." NA
"1302" "rs2733168" "HDAC11" "." "." NA
"1303" "rs2734798" "AC073094.4" "." "." NA
"1304" "rs2735162" "TRGV8" "." "Whole_Blood" NA
"1305" "rs2737273" "TLN1" "." "Brain_Cerebellum, Lymphoblastoid_EUR_exonlevel, Brain_Cerebellar_Hemisphere" NA
"1306" "rs273750" "Metazoa_SRP" "." "." NA
"1307" "rs2748424" "TMC6" "A549,USF1,HudsonAlpha,DEX_100nM;A549,USF1,HudsonAlpha,EtOH_0.02pct;K562,CMYC,Stanford,IFNg30;K562,POL2,Stanford,IFNa30;K562,POL2,Stanford,IFNg30" "Heart_Atrial_Appendage, Heart_Left_Ventricle" NA
"1308" "rs2763263" "SMOC2" "." "Thyroid" NA
"1309" "rs2767409" "RP11-408N14.1" "." "." NA
"1310" "rs2778027" "U3" "." "." NA
"1311" "rs2784524" "AL163953.3" "." "Testis" NA
"1312" "rs2785152" "PDHX" "." "Artery_Tibial" NA
"1313" "rs2804570" "LYZL1" "." "." NA
"1314" "rs2808615" "EGLN1" "." "Cells_Transformed_fibroblasts, Testis, Lymphoblastoid_EUR_exonlevel" NA
"1315" "rs281285" "CTD-2050N2.1" "." "Cells_Transformed_fibroblasts" NA
"1316" "rs2815377" "SLC35D1" "." "Testis" NA
"1317" "rs2816621" "BRF1" "." "Artery_Tibial, Thyroid, Esophagus_Muscularis" NA
"1318" "rs2816668" "JAG2" "." "." NA
"1319" "rs2820443" "RP11-95P13.2" "MCF10A-Er-Src,STAT3,Harvard(Weissman),TAM_1uM_36hr;T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct" "." NA
"1320" "rs2823139" "AF127577.12" "ECC-1,ERALPHA_A,HudsonAlpha,Estradiol_10nM;HeLa-S3,STAT1,Stanford,IFNg30" "." NA
"1321" "rs2823270" "AJ006998.2" "." "Testis" NA
"1322" "rs283352" "AC011366.3" "." "." NA
"1323" "rs2834259" "AP000304.12" "." "Whole_Blood" NA
"1324" "rs2834734" "RUNX1" "." "." NA
"1325" "rs28357162" "HOTTIP" "." "." NA
"1326" "rs28366064" "DIDO1" "." "Cells_Transformed_fibroblasts, Esophagus_Muscularis" NA
"1327" "rs28378165" "AC090825.2" "." "Lung, Adipose_Subcutaneous, Nerve_Tibial" NA
"1328" "rs28381448" "PAPD7" "." "Thyroid, Whole_Blood" NA
"1329" "rs28451064" "AP000318.2" "." "." NA
"1330" "rs2846700" "KCNJ5" "." "." NA
"1331" "rs28477076" "RN5S52" "." "." NA
"1332" "rs28498283" "AC093609.1" "." "." NA
"1333" "rs28498859" "DENND4A" "." "Lymphoblastoid_EUR_exonlevel, Lymphoblastoid_EUR_genelevel" NA
"1334" "rs28526568" "SCARA5" "." "." NA
"1335" "rs28535858" "NFIC" "HeLa-S3,STAT1,Stanford,IFNg30;MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr" "." NA
"1336" "rs28548275" "EXOC2" "." "Heart_Atrial_Appendage" NA
"1337" "rs28564494" "ALX4" "." "." NA
"1338" "rs28620931" "RP11-25L3.3" "A549,CTCF,HudsonAlpha,DEX_100nM;A549,CTCF,HudsonAlpha,EtOH_0.02pct;MCF-7,CTCF,UT-A,estrogen;MCF-7,CTCF,UT-A,vehicle;T-47D,CTCF,HudsonAlpha,DMSO_0.02pct" "." NA
"1339" "rs28625045" "BANK1" "." "." NA
"1340" "rs28628791" "C1orf63" "." "Muscle_Skeletal, Cells_Transformed_fibroblasts, Skin_Sun_Exposed_Lower_leg" NA
"1341" "rs28664852" "RP11-617D20.1" "." "Adipose_Subcutaneous, Skin_Sun_Exposed_Lower_leg" NA
"1342" "rs28676696" "TRPM1" "." "." NA
"1343" "rs28683780" "NFATC1" "." "." NA
"1344" "rs2871865" "IGF1R" "HeLa-S3,STAT1,Stanford,IFNg30" "." NA
"1345" "rs2871960" "ZBTB38" "." "Lymphoblastoid_EUR_exonlevel, Adipose_Subcutaneous, Whole_Blood" NA
"1346" "rs2881064" "AC018717.1" "." "." NA
"1347" "rs2883067" "RP11-46C24.5" "." "Brain_Frontal_Cortex_BA9" NA
"1348" "rs2887012" "RMND5A" "." "Thyroid, Whole_Blood" NA
"1349" "rs2888604" "DRAM1" "A549,USF1,HudsonAlpha,DEX_100nM;A549,USF1,HudsonAlpha,EtOH_0.02pct" "." NA
"1350" "rs2897913" "SERPINE3" "." "." NA
"1351" "rs2903386" "TET2" "." "Adipose_Subcutaneous, Cells_Transformed_fibroblasts, Esophagus_Mucosa" NA
"1352" "rs2922348" "ATG7" "." "." NA
"1353" "rs2926352" "LINC00326" "." "." NA
"1354" "rs2938761" "SLIT3" "." "." NA
"1355" "rs2941896" "GPR98" "." "." NA
"1356" "rs2948097" "KAT2B" "." "Whole_Blood, Nerve_Tibial" NA
"1357" "rs2950387" "BAZ2A" "." "Testis, Lymphoblastoid_EUR_exonlevel" NA
"1358" "rs295114" "SPATS2L" "." "Testis" NA
"1359" "rs2956534" "RAP1B" "." "." NA
"1360" "rs2978086" "Y_RNA" "." "Esophagus_Muscularis, Nerve_Tibial" NA
"1361" "rs2982573" "ESR1" "." "." NA
"1362" "rs2982685" "ESR1" "." "." NA
"1363" "rs3010292" "RP11-12A2.3" "." "." NA
"1364" "rs301043" "METAP2" "." "." NA
"1365" "rs30228" "RP11-65J21.3" "MCF-7,CTCF,UT-A,vehicle" "Thyroid" NA
"1366" "rs3024664" "IL4R" "." "." NA
"1367" "rs3098551" "RP11-30G8.2" "." "." NA
"1368" "rs3099112" "TMEM206" "." "Whole_Blood, Esophagus_Mucosa, Lymphoblastoid_EUR_exonlevel" NA
"1369" "rs3104513" "RP11-30G8.1" "." "." NA
"1370" "rs3108885" "ANO3" "." "." NA
"1371" "rs3131603" "USP50" "." "Artery_Tibial, Muscle_Skeletal" NA
"1372" "rs3134942" "NOTCH4" "." "Heart_Left_Ventricle, Nerve_Tibial, Thyroid" NA
"1373" "rs3136559" "CD69" "K562,CMYC,Stanford,IFNg30" "Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"1374" "rs315869" "BMPER" "." "Brain_Frontal_Cortex_BA9" NA
"1375" "rs3177609" "ZNF516" "." "." NA
"1376" "rs3184504" "SH2B3" "." "Skin_Sun_Exposed_Lower_leg, Whole_Blood" NA
"1377" "rs3197999" "MST1" "." "Whole_Blood, Muscle_Skeletal" NA
"1378" "rs325" "LPL" "." "Whole_Blood" NA
"1379" "rs330675" "CSNK1G3" "." "." NA
"1380" "rs34116321" "NOTUM" "." "Thyroid, Muscle_Skeletal" NA
"1381" "rs34158728" "RASGRP4" "." "." NA
"1382" "rs342210" "CTB-111H14.1" "." "." NA
"1383" "rs34232196" "BSND" "." "Nerve_Tibial, Whole_Blood, Lung" NA
"1384" "rs34237618" "RP11-701P16.5" "." "Testis" NA
"1385" "rs34295201" "ITGB8" "." "." NA
"1386" "rs34298551" "GDF5" "." "Lymphoblastoid_EUR_exonlevel, Cells_Transformed_fibroblasts, Thyroid" NA
"1387" "rs34339670" "RP5-945F2.3" "." "." NA
"1388" "rs34418810" "COL19A1" "." "." NA
"1389" "rs34506912" "RP11-395P13.6" "." "." NA
"1390" "rs34517439" "DNAJB4" "." "Artery_Tibial, Skin_Sun_Exposed_Lower_leg, Esophagus_Mucosa" NA
"1391" "rs34592828" "CTD-2384B11.2" "." "." NA
"1392" "rs34600528" "PDE8B" "." "." NA
"1393" "rs346532" "SMG9" "." "Whole_Blood, Cells_Transformed_fibroblasts, Lymphoblastoid_EUR_exonlevel" NA
"1394" "rs34653266" "RP11-96G10.1" "." "." NA
"1395" "rs346835" "LINC00299" "." "." NA
"1396" "rs34712979" "NPNT" "." "Artery_Aorta, Artery_Tibial, Skin_Sun_Exposed_Lower_leg" NA
"1397" "rs34767042" "D2HGDH" "." "Thyroid, Nerve_Tibial, Skin_Sun_Exposed_Lower_leg" NA
"1398" "rs34834842" "MICALL1" "." "Testis, Whole_Blood" NA
"1399" "rs34848742" "NUDT6" "K562,IRF1,Stanford,IFNg6h;MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr" "Breast_Mammary_Tissue, Muscle_Skeletal" NA
"1400" "rs34863791" "RP3-422G23.4" "." "Cells_Transformed_fibroblasts, Lymphoblastoid_YRI_genelevel, Muscle_Skeletal" NA
"1401" "rs34980052" "RP11-503G7.2" "K562,CMYC,Stanford,IFNg6h" "Whole_Blood, Spleen, Skin_Sun_Exposed_Lower_leg" NA
"1402" "rs35074264" "UQCRB" "." "." NA
"1403" "rs35158985" "CDH1" "." "Nerve_Tibial, Whole_Blood" NA
"1404" "rs35188965" "SLC12A7" "." "Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"1405" "rs35192867" "BTBD2" "." "." NA
"1406" "rs351955" "CTD-2288O8.1" "." "Whole_Blood" NA
"1407" "rs351978" "PTBP1" "." "." NA
"1408" "rs35198068" "TCF7L2" "." "." NA
"1409" "rs35268676" "AP000868.1" "." "." NA
"1410" "rs35307904" "PCSK5" "." "." NA
"1411" "rs35350109" "CTC-504A5.1" "." "." NA
"1412" "rs35360637" "HHLA2" "." "Colon_Transverse, Lymphoblastoid_EUR_exonlevel, Lymphoblastoid_EUR_genelevel" NA
"1413" "rs35396318" "RP1-34H18.1" "." "." NA
"1414" "rs35399421" "PLOD2" "." "Cells_Transformed_fibroblasts, Muscle_Skeletal, Nerve_Tibial" NA
"1415" "rs35443108" "CTNNA3" "." "." NA
"1416" "rs35445397" "CTC-525D6.1" "." "." NA
"1417" "rs35487120" "U6" "." "." NA
"1418" "rs35506085" "IGF2" "." "." NA
"1419" "rs35524387" "FERMT3" "." "Muscle_Skeletal, Esophagus_Mucosa, Lymphoblastoid_EUR_exonlevel" NA
"1420" "rs35539500" "GLI2" "." "." NA
"1421" "rs35551525" "SLC38A9" "." "Lymphoblastoid_EUR_exonlevel, Brain_Cerebellum, Brain_Nucleus_accumbens_basal_ganglia" NA
"1422" "rs35559811" "RN5S30" "." "." NA
"1423" "rs35571432" "ZZEF1" "." "." NA
"1424" "rs35585318" "AC004854.4" "." "Testis, Thyroid" NA
"1425" "rs35592432" "FOXP1" "." "." NA
"1426" "rs35615447" "COL21A1" "." "." NA
"1427" "rs35617057" "SLC24A4" "." "." NA
"1428" "rs35617898" "SMARCA2" "." "." NA
"1429" "rs35622628" "NCOR1" "." "Muscle_Skeletal, Thyroid" NA
"1430" "rs35632255" "RP11-111A21.1" "." "." NA
"1431" "rs35680304" "MKLN1" "." "Thyroid" NA
"1432" "rs35681800" "RP11-125O18.1" "." "." NA
"1433" "rs35779193" "PDCD6" "." "Testis, Cells_Transformed_fibroblasts" NA
"1434" "rs357870" "RP11-15F12.1" "." "." NA
"1435" "rs35788208" "MIR1303" "." "Artery_Tibial, Adipose_Subcutaneous" NA
"1436" "rs35871163" "U95743.1" "." "." NA
"1437" "rs35981402" "CTC-454M9.1" "." "." NA
"1438" "rs36070298" "MEF2A" "." "Lymphoblastoid_EUR_exonlevel" NA
"1439" "rs36070348" "GNB1L" "." "." NA
"1440" "rs36084354" "HMHA1" "." "Artery_Tibial, Skin_Sun_Exposed_Lower_leg, Esophagus_Muscularis" NA
"1441" "rs36089182" "OR4D1" "." "Testis" NA
"1442" "rs36120854" "SMAD6" "." "." NA
"1443" "rs36126044" "AC005358.1" "." "." NA
"1444" "rs361725" "ODF3B" "." "Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"1445" "rs36225559" "ANKRD49" "." "." NA
"1446" "rs365990" "MYH6" "." "." NA
"1447" "rs3735491" "CCM2" "." "Whole_Blood" NA
"1448" "rs3740481" "FAM178A" "." "." NA
"1449" "rs3741156" "P2RY2" "." "." NA
"1450" "rs3747564" "RP11-328C8.5" "." "." NA
"1451" "rs3748136" "RP11-10A14.4" "K562,CJUN,Stanford,IFNg30;K562,CJUN,Stanford,IFNg6h;K562,POL2,Stanford,IFNa30" "Whole_Blood, Spleen" NA
"1452" "rs3748927" "AFF3" "." "Artery_Aorta" NA
"1453" "rs3760091" "SULT1A1" "." "Whole_Blood, Artery_Tibial" NA
"1454" "rs3772109" "TCTEX1D2" "." "Lymphoblastoid_EUR_exonlevel, Muscle_Skeletal" NA
"1455" "rs3774036" "PLD1" "." "Spleen, Adipose_Subcutaneous, Lung" NA
"1456" "rs3779381" "WNT16" "." "Whole_Blood" "https://en.wikipedia.org/wiki/WNT16. It has been proposed that stimulation of WNT16 expression in nearby normal cells is responsible for the development of chemotherapy-resistance in cancer cells."
"1457" "rs3787603" "NCAM2" "." "." NA
"1458" "rs3788448" "FBXO7" "." "Skin_Sun_Exposed_Lower_leg, Skin_Not_Sun_Exposed_Suprapubic, Whole_Blood" NA
"1459" "rs3802847" "NCAM1" "." "." NA
"1460" "rs3806680" "IL5RA" "." "." NA
"1461" "rs3808580" "BNIP3L" "." "Whole_Blood" NA
"1462" "rs3809835" "PITPNM3" "." "." NA
"1463" "rs3811444" "TRIM58" "." "Whole_Blood" NA
"1464" "rs3812847" "TBC1D4" "." "." NA
"1465" "rs381500" "RP1-155D22.2" "." "." NA
"1466" "rs3815813" "MLYCD" "." "Whole_Blood" NA
"1467" "rs3815829" "CYFIP2" "." "Artery_Tibial, Nerve_Tibial" NA
"1468" "rs3816235" "AC079610.1" "." "Esophagus_Mucosa, Thyroid" NA
"1469" "rs3822742" "CXXC5" "." "Lymphoblastoid_EUR_exonlevel, Muscle_Skeletal, Whole_Blood" NA
"1470" "rs3824949" "TRIM5" "." "Whole_Blood, Artery_Tibial" NA
"1471" "rs3826007" "BCL2A1" "." "Lymphoblastoid_EUR_exonlevel" NA
"1472" "rs3843481" "CTD-2235C13.2" "." "Lymphoblastoid_EUR_exonlevel, Nerve_Tibial" NA
"1473" "rs3850625" "CACNA1S" "." "Whole_Blood" NA
"1474" "rs3858637" "BIN2" "." "Skin_Sun_Exposed_Lower_leg" NA
"1475" "rs385893" "AK3" "." "Whole_Blood" NA
"1476" "rs3861000" "PAX5" "." "." "https://en.wikipedia.org/wiki/PAX5. The PAX proteins are important regulators in early development, and alterations in the expression of their genes are thought to contribute to neoplastic (肿瘤) transformation."
"1477" "rs38859" "MET" "." "Brain_Caudate_basal_ganglia, Artery_Aorta, Brain_Putamen_basal_ganglia" NA
"1478" "rs391236" "C5orf30" "." "Lymphoblastoid_EUR_exonlevel" NA
"1479" "rs3917932" "CSF3R" "." "." NA
"1480" "rs3918226" "NOS3" "." "." NA
"1481" "rs3922853" "AC107057.2" "." "." NA
"1482" "rs3925002" "HMGCLL1" "." "." NA
"1483" "rs3935627" "SPG7" "." "Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"1484" "rs3937015" "CD226" "." "." NA
"1485" "rs3962111" "TACC2" "A549,POL2,HudsonAlpha,DEX_100nM;A549,POL2,HudsonAlpha,EtOH_0.02pct" "." NA
"1486" "rs396912" "KRTAP10-4" "MCF-7,CTCF,UT-A,estrogen;MCF-7,CTCF,UT-A,vehicle" "." NA
"1487" "rs40071" "FBXL17" "." "." NA
"1488" "rs40133" "RXFP3" "." "." NA
"1489" "rs4014074" "SMARCA2" "." "." NA
"1490" "rs4021229" "CTDP1" "." "Liver, Whole_Blood" NA
"1491" "rs4074425" "PTPN14" "." "." NA
"1492" "rs4075220" "NSMCE1" "." "Cells_Transformed_fibroblasts, Esophagus_Mucosa, Nerve_Tibial" NA
"1493" "rs410867" "KLF2" "K562,CMYC,Stanford,IFNg30;MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr;MCF10A-Er-Src,STAT3,Harvard(Weissman),TAM_1uM_36hr" "Whole_Blood" NA
"1494" "rs41271159" "RP11-321L2.1" "." "." NA
"1495" "rs41276442" "RBBP9" "." "." NA
"1496" "rs41276789" "RNF183" "." "." NA
"1497" "rs41278274" "CRB2" "." "." NA
"1498" "rs41282872" "PTPRE" "." "." NA
"1499" "rs41283518" "DCLRE1B" "." "." NA
"1500" "rs41299579" "NUDT17" "A549,CTCF,HudsonAlpha,DEX_100nM;A549,CTCF,HudsonAlpha,EtOH_0.02pct;A549,POL2,HudsonAlpha,DEX_100nM;A549,POL2,HudsonAlpha,EtOH_0.02pct;K562,CMYC,Stanford,IFNg30;MCF-7,CMYC,UT-A,vehicle;MCF-7,CTCF,UT-A,estrogen;MCF-7,CTCF,UT-A,vehicle;T-47D,CTCF,HudsonAlpha,DMSO_0.02pct;T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct" "." NA
"1501" "rs41307023" "SLC14A2" "." "." NA
"1502" "rs4131312" "AC104654.2" "." "Heart_Left_Ventricle" NA
"1503" "rs4134932" "AP4M1" "." "Thyroid, Esophagus_Muscularis" NA
"1504" "rs41381344" "ENG" "T-47D,GATA3,HudsonAlpha,DMSO_0.02pct" "Skin_Sun_Exposed_Lower_leg" NA
"1505" "rs415064" "TUBB1" "." "." NA
"1506" "rs417183" "RP11-372H2.1" "." "Whole_Blood" NA
"1507" "rs42039" "CDK6" "." "Cells_Transformed_fibroblasts, Testis" NA
"1508" "rs42111" "HIBADH" "." "Lymphoblastoid_EUR_genelevel, Lymphoblastoid_EUR_exonlevel" NA
"1509" "rs4235011" "PCDH7" "." "." NA
"1510" "rs4239615" "CYP4F8" "." "Brain_Nucleus_accumbens_basal_ganglia, Whole_Blood, Brain_Caudate_basal_ganglia" NA
"1511" "rs4239767" "RP11-199O14.1" "." "." NA
"1512" "rs4253399" "F11" "HepG2,POL2,Stanford,forskolin" "Whole_Blood" NA
"1513" "rs4270228" "DHRS7B" "." "Adipose_Subcutaneous, Esophagus_Muscularis, Thyroid" NA
"1514" "rs4273467" "LINC00504" "." "." NA
"1515" "rs4280857" "HTR4" "." "." NA
"1516" "rs4288380" "LOXL2" "." "Esophagus_Muscularis, Whole_Blood" NA
"1517" "rs429358" "APOE" "." "Lymphoblastoid_EUR_exonlevel" NA
"1518" "rs4332760" "RBFOX1" "." "." NA
"1519" "rs4362932" "CSF1R" "." "Whole_Blood" NA
"1520" "rs4369779" "CABLES1" "." "Whole_Blood" NA
"1521" "rs4388979" "USP30" "." "Heart_Left_Ventricle, Cells_EBV-transformed_lymphocytes, Whole_Blood" NA
"1522" "rs4390668" "ZNF521" "." "." NA
"1523" "rs4410607" "ELOVL7" "." "Thyroid" NA
"1524" "rs4410790" "AC003075.4" "." "Whole_Blood" NA
"1525" "rs4422380" "MARCH1" "." "Thyroid" NA
"1526" "rs4435924" "AL590558.1" "." "." NA
"1527" "rs4438032" "GRM5" "." "." NA
"1528" "rs4447106" "HIF1AN" "." "Whole_Blood, Skin_Sun_Exposed_Lower_leg" NA
"1529" "rs4461788" "AGMO" "." "Liver" NA
"1530" "rs4473150" "ADAMTSL3" "." "Adipose_Subcutaneous, Testis" NA
"1531" "rs4476672" "WFS1" "." "Brain_Cerebellum, Skin_Sun_Exposed_Lower_leg" NA
"1532" "rs448203" "SEPT9" "." "Whole_Blood" NA
"1533" "rs4505759" "FGFRL1" "." "Whole_Blood, Thyroid" NA
"1534" "rs4536025" "SNX7" "." "." NA
"1535" "rs45455302" "EHMT1" "." "." NA
"1536" "rs45523434" "ZBTB1" "." "." NA
"1537" "rs4597943" "RP11-428C6.1" "." "Whole_Blood" NA
"1538" "rs4605230" "NOG" "." "Whole_Blood" NA
"1539" "rs4656746" "RP11-297H3.3" "." "." NA
"1540" "rs4675792" "AGXT" "." "Esophagus_Mucosa, Skin_Not_Sun_Exposed_Suprapubic, Skin_Sun_Exposed_Lower_leg" NA
"1541" "rs4678938" "LRRFIP2" "." "Thyroid, Muscle_Skeletal, Esophagus_Mucosa" NA
"1542" "rs4682103" "CD200" "." "." NA
"1543" "rs4698348" "RP11-665G4.1" "." "." NA
"1544" "rs4707826" "RP3-463P15.1" "." "." NA
"1545" "rs4711889" "CD2AP" "." "Esophagus_Mucosa, Brain_Cerebellum, Thyroid" NA
"1546" "rs4716437" "RNF32" "." "Lymphoblastoid_EUR_exonlevel, Whole_Blood, Adipose_Subcutaneous" NA
"1547" "rs4726088" "PRKAG2" "." "." NA
"1548" "rs4726135" "MRPS33" "." "." NA
"1549" "rs4728335" "AC009276.4" "." "." NA
"1550" "rs4733582" "PVT1" "." "." NA
"1551" "rs4735766" "AC105242.1" "." "." NA
"1552" "rs4737010" "ANK1" "K562,CMYC,Stanford,IFNg30" "." NA
"1553" "rs4738139" "RP11-1102P16.1" "." "." NA
"1554" "rs4744011" "SYK" "." "Nerve_Tibial, Skin_Not_Sun_Exposed_Suprapubic, Testis" NA
"1555" "rs4749127" "APBB1IP" "." "Lymphoblastoid_EUR_exonlevel" NA
"1556" "rs4757774" "RP11-428C19.4" "." "Stomach" NA
"1557" "rs4757918" "HTATIP2" "." "." NA
"1558" "rs4775449" "VPS13C" "." "Nerve_Tibial, Lymphoblastoid_EUR_exonlevel, Adrenal_Gland" NA
"1559" "rs4805555" "ZNF536" "." "." NA
"1560" "rs4808238" "NOTCH3" "." "." NA
"1561" "rs4808304" "ZNF333" "A549,POL2,HudsonAlpha,DEX_100nM;A549,POL2,HudsonAlpha,EtOH_0.02pct;HepG2,POL2,Stanford,forskolin;K562,CMYC,Stanford,IFNg30;K562,CMYC,Stanford,IFNg6h;K562,POL2,Stanford,IFNa30;MCF-7,CMYC,UT-A,vehicle;MCF10A-Er-Src,POL2,Harvard(Weissman),TAM_1uM_36hr;MCF10A-Er-Src,POL2,Stanford,EtOH_0.01pct" "Lymphoblastoid_EUR_exonlevel, Thyroid, Whole_Blood" NA
"1562" "rs4808798" "AC008397.1" "." "Lymphoblastoid_EUR_exonlevel, Lymphoblastoid_EUR_genelevel" NA
"1563" "rs4821896" "TAB1" "A549,CTCF,HudsonAlpha,DEX_100nM;A549,CTCF,HudsonAlpha,EtOH_0.02pct;MCF-7,CTCF,UT-A,estrogen" "Nerve_Tibial, Heart_Atrial_Appendage, Skin_Sun_Exposed_Lower_leg" NA
"1564" "rs482258" "TMEM135" "." "." NA
"1565" "rs4823560" "CELSR1" "." "." NA
"1566" "rs4824112" "ZBED4" "." "Lymphoblastoid_EUR_exonlevel" NA
"1567" "rs4832059" "SNORD112" "." "." NA
"1568" "rs4842451" "SYT1" "." "." NA
"1569" "rs486153" "NOSTRIN" "." "Lung, Skin_Sun_Exposed_Lower_leg, Testis" NA
"1570" "rs4869745" "CCDC170" "." "Thyroid" NA
"1571" "rs4881076" "PFKP" "." "." NA
"1572" "rs4881601" "RP11-291L22.4" "." "." NA
"1573" "rs4904871" "SLC24A4" "." "." NA
"1574" "rs4906322" "MARK3" "." "Whole_Blood, Artery_Aorta, Thyroid" NA
"1575" "rs4911102" "RP11-410N8.1" "." "." NA
"1576" "rs4916514" "AC023797.1" "." "Whole_Blood, Artery_Tibial" NA
"1577" "rs492350" "GRM5-AS1" "." "." NA
"1578" "rs4926930" "ZYG11B" "." "Whole_Blood" NA
"1579" "rs4928200" "RP11-779P15.2" "." "." NA
"1580" "rs493063" "LINC00336" "." "Cells_Transformed_fibroblasts, Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"1581" "rs4946896" "OSTM1" "." "." NA
